,,,,,,,,,,,,,,
,Carrera de Desarrollo Full Stack,Precio,Porcentaje,Queda a favor,,Carrera Data Scientist (2 cursos),Precio,Porcentaje,Queda a favor,,Carrera Data Analytics,Precio,Porcentaje,Queda a favor
,React Js,"77.900,00","16,79%",TRUE,,Data Science,"210.000,00","70,02%",TRUE,,Procesamiento de Datos en Excel,"59.800,00","28,54%",FALSE
,Javascript,"89.900,00","19,38%",FALSE,,Data Analytics,"89.900,00","29,98%",TRUE,,Tableau,"59.800,00","28,54%",FALSE
,Desarrollo Web,"77.900,00","16,79%",FALSE,,,,,,,Data Analytics,"89.900,00","42,91%",TRUE
,Programación Backend,"218.200,00","47,04%",TRUE,,,,,,,,,,
,Total,"463.900,00","100,00%",,,Total,"299.900,00","100,00%",,,Total,"209.500,00","100,00%",
,,,,"330.811,00",,,,,,,,,,"224.825,00"
,VALOR DE LA INSCRIPCIÓN,,,"73.312,00",,VALOR DE LA INSCRIPCIÓN,,,"335.608,00",,VALOR DE LA INSCRIPCIÓN,,,"212.787,00"
,VALOR ABONADO (si es con TC es el total),,,"73.312,00",,VALOR ABONADO (si es con TC es el total),,,"335.608,00",,VALOR ABONADO (si es con TC es el total),,,"212.787,00"
,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,46.794,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,335.608,,SALDO A FAVOR (+) / SALDO A PAGAR (-),,,91.311
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Carrera de Desarrollo Frontend React,Precio,Porcentaje,Queda a favor,,Carrera de Product Marketing	,Precio,Porcentaje,Queda a favor,,Carrera de Diseño UX Writing,Precio,Porcentaje,Queda a favor
,React Js,"77.900,00","31,71%",TRUE,,Community Manager & Publicidad,"77.900,00","26,54%",FALSE,,Diseño UX/UI,"89.900,00","34,89%",TRUE
,Javascript,"89.900,00","36,59%",TRUE,,Product Manager,"77.900,00","26,54%",TRUE,,Diseño UX/UI Avanzado,"89.900,00","34,89%",TRUE
